common_neighbors,resource_allocation_index,jaccard_coefficient,adamic_adar_index,preferential_attachment,label
2,0.744578403867906,0.4644808743169399,17.819900591167414,17427,1
2,0.4256824193868269,0.015286624203821656,3.5504420924479674,9420,1
0,0.06770328704442215,0.04411764705882353,0.7321483418281388,988,1
1,0.7987674209679653,0.5,6.108098250928609,864,1
4,0.8480806678977929,0.43529411764705883,22.618503288955793,30125,1
0,0.2327663770512025,0.15492957746478872,2.780180497506361,1392,1
6,0.8780775360507925,0.6984924623115578,27.326799677062887,28557,1
1,0.20377894859532922,0.1791907514450867,6.109271305437013,10004,1
1,0.4252880120857355,0.28378378378378377,8.96240666019863,8400,1
1,0.47246082958633906,0.37623762376237624,14.852381759075373,17017,1
1,0.4848887933216137,0.1721311475409836,5.455382641475976,3220,1
0,0.9354410320939566,0.4367816091954023,23.50571069447834,35066,1
7,0.913544748903188,0.7666666666666667,7.023741705796572,696,1
0,0.36656510466080383,0.3466666666666667,5.981927940386629,2548,1
7,1.1514186384280256,0.7729257641921398,34.94151475310707,40953,1
1,1.0476725587134574,0.08535031847133757,15.912817836157284,52595,1
7,1.0331123652592453,0.84,32.90142684092499,33855,1
0,0.49415571969947786,0.25874125874125875,8.487599580488713,7931,1
0,0.6403675450729669,0.4052631578947368,15.887069497202669,17820,1
1,0.7096532822724492,0.6505376344086021,23.481973372302875,23472,1
0,0.7040942862497599,0.6290322580645161,22.78026105186714,22950,1
0,0.47705280835195796,0.3620689655172414,5.306764661438263,1488,1
2,0.47087218080387466,0.4090909090909091,4.863772602844893,957,1
0,0.21228516317917817,0.060240963855421686,2.476007824120865,3519,1
1,0.6795021264671965,0.40336134453781514,11.166073487175103,6942,1
0,0.39952079545990177,0.3493975903614458,6.691765626917877,3072,1
0,0.32503339581415414,0.21008403361344538,5.697697129333405,5183,1
0,1.0679973026213712,0.3313253012048193,23.456379414484683,44080,1
0,0.33795960639404476,0.13076923076923078,4.108728245074985,4850,1
0,0.1841223055036331,0.1346153846153846,3.177695589192154,3312,1
4,0.8497171677874716,0.660377358490566,27.34572848254501,30951,1
2,0.32978620145976123,0.13821138211382114,4.1311071816953016,3136,1
0,0.5396756668035718,0.4426229508196721,6.836313134741636,1900,1
1,0.8742230122468138,0.8823529411764706,5.188891963330943,256,1
1,0.5787738161578194,0.0787716955941255,12.539240594706767,44191,1
0,0.38817576101652645,0.13450292397660818,5.456614018806761,5565,1
1,0.3325847375587942,0.2746478873239437,8.069938508864636,7950,1
1,0.6530946904882394,0.5161290322580645,11.081854426396566,4970,1
1,0.20436528319978084,0.08,1.7015479539887473,1178,1
5,1.1277459300047183,0.7945205479452054,34.37202442335968,38556,1
0,0.14234438244468178,0.10126582278481013,1.913342752546452,1472,1
0,0.5349493653667441,0.45161290322580644,7.014438756536397,2021,1
0,0.49354865191488756,0.25203252032520324,7.331333147929259,5145,1
1,0.6253370006866606,0.2952755905511811,15.50320129687036,21208,1
0,0.16751878509650636,0.07954545454545454,1.7879668461655867,1750,1
0,0.1019458581958582,0.23529411764705882,1.0563250374196098,110,1
1,0.20863112332366007,0.2608695652173913,1.7081016945592364,198,1
1,0.4660564968241011,0.3157894736842105,11.227351755469947,11900,1
0,0.08831891002665587,0.15,1.91512179724678,1058,1
1,0.5076007993007537,0.25842696629213485,5.704038329601793,2940,1
0,0.04444956241363427,0.05128205128205128,0.5023167364117826,78,1
0,0.46851683738333344,0.3254437869822485,11.424440799568929,11175,1
0,0.8572279891871997,0.4975124378109453,20.80517406582961,20928,1
6,0.914657107050421,0.7014218009478673,28.976915299117763,31948,1
1,0.5757514613446817,0.4666666666666667,2.7660069765354436,117,1
6,0.5466384128555488,0.6551724137931034,5.287433747600524,575,1
0,1.0385882425634987,0.34532374100719426,12.18257068602824,8280,1
1,0.6674769514316197,0.5989010989010989,21.21902376037299,20988,1
0,0.31828050446220074,0.08571428571428572,1.9319415740957702,483,1
4,0.9668383014786401,0.7064220183486238,30.206914826606784,34595,1
1,0.7381530608595387,0.48255813953488375,17.428827800240946,15794,1
0,0.11277614127454913,0.09876543209876543,3.1681091476642975,5520,1
0,0.5337477427680053,0.29901960784313725,12.68493262215356,14476,1
0,0.6564333813482391,0.36893203883495146,9.116306422511922,4664,1
1,0.27755328881400315,0.17721518987341772,3.446060485699429,1856,1
0,0.34669486491940293,0.2541436464088398,9.299863332081202,12880,1
2,0.48138179947284676,0.4444444444444444,6.764771279202246,2014,1
1,0.5505537822619392,0.4405594405594406,13.21713606188628,10584,1
0,0.025252525252525252,0.03773584905660377,0.45717405482757356,600,1
2,0.06797351841992058,0.1111111111111111,1.1225857189953934,456,1
0,0.2931922193675423,0.25555555555555554,9.033091147980517,12625,1
1,0.21713099979637937,0.09401709401709402,4.6574877640302335,9984,1
0,0.28408207965523774,0.13392857142857142,3.6962185331098465,3382,1
4,0.5841268973352415,0.5357142857142857,7.550973593260677,1840,1
0,0.28739983413678344,0.22018348623853212,5.370332106358484,4116,1
5,0.6666243779715885,0.6236559139784946,22.432979676699432,22632,1
0,0.48910029600963034,0.40217391304347827,8.472388791224203,3950,1
0,0.5007008559962347,0.41333333333333333,7.392745750554372,2784,1
0,0.020455930144475568,0.03508771929824561,0.7430138104220712,2185,1
12,1.1596200440904423,0.8792270531400966,35.86662363271759,37800,1
0,0.4716023208370453,0.3803680981595092,12.594165437794903,12650,1
0,0.5187303445161108,0.01910828025477707,4.3853650158858,11775,1
0,0.4817708127361325,0.2620689655172414,8.637064388830376,8330,1
0,0.09561176777710857,0.08433734939759036,1.5747838220853185,1625,1
1,0.42805732713903843,0.21666666666666667,10.734230911834292,16132,1
4,0.9039148421844012,0.44642857142857145,16.677321676003174,12870,1
0,0.4352185832850666,0.171875,3.308553905740051,1376,1
0,0.0012738853503184713,0.047619047619047616,0.1500221196112629,21,1
0,0.333202428287704,0.20540540540540542,7.897951337195188,9010,1
2,0.3406744143262799,0.29714285714285715,10.26980126577955,12880,1
1,0.5192248991101995,0.25190839694656486,7.848356364128466,4515,1
1,0.6844708181037706,0.4936708860759494,9.504176440375304,3456,1
0,0.42665697246556405,0.4097222222222222,11.845682725247622,9922,1
0,0.5126918862913157,0.4166666666666667,16.518088119306448,18228,1
0,0.12258005261308999,0.1724137931034483,1.3217830055944357,289,1
1,0.12534551419215287,0.17391304347826086,1.8423815608305798,704,1
1,0.5650411482055641,0.4519230769230769,18.303435931524177,21901,1
0,0.40419245904501083,0.33707865168539325,11.9272226942012,14157,1
3,0.8894031435741534,0.729064039408867,28.859090325806765,30618,1
3,0.5469557941724621,0.5,4.640534547563662,572,1
0,0.2703332805970092,0.1836734693877551,2.4813367848290335,616,1
2,0.18415369750784655,0.10795454545454546,4.030599731742029,4950,1
0,0.6630893896223993,0.3789954337899543,17.018064476106236,22317,1
4,0.7134320542854785,0.5222929936305732,17.143732412972508,14098,1
0,0.39651753033978976,0.3418803418803419,8.491711127070293,5562,1
2,0.12701867343443296,0.1,1.5123902772612676,893,1
0,0.5673738118584696,0.33181818181818185,14.928476989229484,20340,1
1,0.6443437658287099,0.4463276836158192,16.256741093168543,16060,1
2,0.534161241128145,0.4068965517241379,12.433822865225489,9675,1
0,0.6188914343352743,0.38738738738738737,17.283835858651063,22987,1
3,0.7833139213377229,0.7777777777777778,4.771859571906697,256,1
2,0.8646787510172262,0.5121951219512195,6.473328169712125,936,1
1,0.9195616095459146,0.4434782608695652,12.5439606939168,6664,1
0,0.12223040177123884,0.15,1.481889821631677,304,1
0,0.6858979293887973,0.03946102021174206,9.927953753788431,42599,1
1,0.8299583316256887,0.4927536231884058,8.999616898327549,2596,1
0,0.48368615820984473,0.27184466019417475,6.657113665316578,3948,1
0,0.594034490154399,0.5478723404255319,19.929075255518406,20240,1
0,0.10825048772533652,0.07042253521126761,1.2050663738218104,715,1
0,0.3083919882654722,0.20437956204379562,6.0246955549976695,6386,1
0,1.6579109430277266,0.26217228464419473,18.127887958293602,25312,1
16,1.0113776555007836,0.7547169811320755,31.47084014755328,34547,1
0,0.29897743684031297,0.1784037558685446,7.708739493145507,15370,1
